,Symbol
0,ABB IS
15734,ABCAP IS
8300,ABNL IS
15028,ACC IS
5503,ACEM IS
6603,ADE IS
15232,ADSEZ IS
1003,AL IS
6806,ANDB IS
11804,APHS IS
11206,APNT IS
1906,APTY IS
16042,ARBP IS
6408,AXSB IS
15943,BAF IS
15339,BANDHAN IS
1209,BHARTI IS
14733,BHE IS
13119,BHEL IS
1512,BHFC IS
13323,BHIN IS
7513,BIOS IS
13625,BJAUT IS
15750,BJFIN IS
9613,BJHI IS
1215,BOB IS
11217,BOI IS
12418,BOS IS
12924,BPCL IS
12420,BRIT IS
18,BRPL IS
8919,CAIR IS
10721,CBK IS
11723,CCRI IS
16058,CDH IS
7122,CGPOWER IS
8423,CIPLA IS
8924,CLGT IS
122,CMC IS
7925,COAL IS
2023,CRPBK IS
13436,CSTRL IS
12731,DABUR IS
8327,DIVI IS
16165,DLFU IS
14851,DMART IS
6325,DRRD IS
14246,EIM IS
10631,EXID IS
7230,FB IS
14854,GAIL IS
9033,GCPL IS
1027,GESCO IS
15260,GICRE IS
1727,GLXO IS
5431,GMRI IS
6732,GNP IS
8836,GRASIM IS
16173,HAVL IS
4231,HCLT IS
13348,HDFC IS
16075,HDFCAMC IS
10239,HDFCB IS
15470,HDFCLIFE IS
3531,HDIL IS
13650,HMCL IS
13452,HMN IS
13453,HNDL IS
8343,HPCL IS
7343,HUVR IS
13957,HZ IS
5641,IBREL IS
12244,ICICIBC IS
15881,ICICIGI IS
9045,IDBI IS
12045,IDEA IS
1939,IDFC IS
1339,IFCI IS
5148,IH IS
14870,IHFL IS
9447,IIB IS
14063,INDIGO IS
14670,INFO IS
1042,INGR IS
42,IOB IS
15382,IOCL IS
15484,IPRU IS
13262,ITC IS
1045,JETIN IS
8253,JPA IS
6152,JSP IS
10652,JSTL IS
4655,KKC IS
4151,KMB IS
148,LICHF IS
14982,LPC IS
2850,LT IS
15085,LTFH IS
2251,MBI IS
2352,MM IS
10158,MMFS IS
2153,MPHL IS
15493,MRCO IS
14278,MRF IS
454,MRL IS
5163,MRPL IS
11560,MSIL IS
12969,MSS IS
356,MTNL IS
1158,NACL IS
58,NCRL IS
159,NFSSL IS
12565,NHPC IS
15700,NIACL IS
760,NIBP IS
960,NIPCL IS
1361,NIRMA IS
9063,NMDC IS
7963,NTPC IS
1062,OBC IS
6763,OFSS IS
15401,OINL IS
9166,ONGC IS
16109,PAG IS
3063,PATNI IS
1664,PFIZ IS
13781,PG IS
15505,PIDI IS
2165,PIEL IS
568,PJT IS
13684,PLNG IS
6566,PNB IS
2168,POL IS
14900,POWF IS
6269,PUNJ IS
10770,PWGR IS
6670,RBXY IS
10371,RCAPT IS
7772,RCOM IS
13788,RECL IS
4775,RELI IS
7975,RIL IS
5776,RNR IS
3672,RPET IS
6876,RPWR IS
575,RW IS
15611,SAIL IS
477,SANL IS
16117,SBILIFE IS
7379,SBIN IS
479,SCI IS
1181,SCS IS
12379,SHTF IS
181,SIEM IS
10581,SKB IS
6182,SNDB IS
15212,SRCM IS
4983,STLT IS
3082,SUEL IS
12182,SUF IS
13696,SUNP IS
15214,SUNTV IS
4986,TATA IS
2186,TCOM IS
187,TCS IS
4188,TECHM IS
11787,TGBL IS
5989,TPW IS
3188,TPWR IS
13600,TRP IS
9688,TTAN IS
7490,TTCH IS
4590,TTLS IS
1991,TTMT IS
13502,TTMT/A IS
2790,TVSL IS
16028,UBBL IS
4492,UNBK IS
8393,UNSP IS
13909,UPLL IS
5695,UT IS
4395,UTCEM IS
5097,VEDL IS
2195,VJYBK IS
1096,VYSB IS
97,WPL IS
9497,WPRO IS
7398,YES IS
4899,Z IS
