,Symbol
8467,ABB IS
8268,ABCAP IS
4200,ABNL IS
101,ACC IS
8569,ACEM IS
4951,ADE IS
5302,ADSEZ IS
3103,AL IS
2754,ANDB IS
6302,APHS IS
1602,APNT IS
2205,APTY IS
8372,ARBP IS
1756,AXSB IS
7059,BAF IS
8473,BANDHAN IS
203,BHARTI IS
1406,BHE IS
7468,BHEL IS
6703,BHFC IS
6454,BHIN IS
4806,BIOS IS
3209,BJAUT IS
6807,BJFIN IS
255,BJHI IS
3759,BOB IS
6607,BOI IS
5258,BOS IS
606,BPCL IS
6910,BRIT IS
1361,BRPL IS
6809,CAIR IS
2112,CBK IS
4861,CCRI IS
8481,CDH IS
3813,CGPOWER IS
7,CIPLA IS
308,CLGT IS
3965,COAL IS
2215,CRPBK IS
6864,CSTRL IS
6512,DABUR IS
6265,DIVI IS
7527,DLFU IS
8183,DMART IS
2615,DRRD IS
6415,EIM IS
4067,EXID IS
2868,FB IS
11,GAIL IS
7731,GCPL IS
8636,GICRE IS
7376,GLXO IS
4920,GMRI IS
4570,GNP IS
313,GRASIM IS
8086,HAVL IS
1013,HCLT IS
464,HDFC IS
8538,HDFCAMC IS
366,HDFCB IS
8389,HDFCLIFE IS
3622,HDIL IS
1116,HMCL IS
7635,HMN IS
967,HNDL IS
1318,HPCL IS
1119,HUVR IS
7281,HZ IS
3374,IBREL IS
870,ICICIBC IS
8341,ICICIGI IS
5371,IDBI IS
7484,IDEA IS
1568,IDFC IS
3426,IFCI IS
1770,IH IS
7027,IHFL IS
4375,IIB IS
7130,INDIGO IS
821,INFO IS
1521,INGR IS
1971,IOB IS
6672,IOCL IS
7991,IPRU IS
822,ITC IS
523,JETIN IS
2625,JPA IS
2023,JSP IS
2375,JSTL IS
5724,KKC IS
1625,KMB IS
3780,LICHF IS
8646,LPC IS
524,LT IS
8297,LTFH IS
2180,MBI IS
1175,MM IS
6078,MMFS IS
4430,MPHL IS
8648,MRCO IS
6578,MRF IS
2182,MRL IS
2535,MRPL IS
1076,MSIL IS
7542,MSS IS
477,MTNL IS
828,NACL IS
7846,NHPC IS
8402,NIACL IS
1430,NIBP IS
929,NIPCL IS
1681,NIRMA IS
7747,NMDC IS
230,OBC IS
3635,OFSS IS
5379,OINL IS
481,ONGC IS
8555,PAG IS
2938,PATNI IS
1434,PFIZ IS
8256,PG IS
7901,PIDI IS
8308,PIEL IS
1736,PJT IS
6733,PLNG IS
8057,PNB IS
1687,POL IS
4633,POWF IS
3986,PUNJ IS
83,RBXY IS
4087,RCAPT IS
6586,RCOM IS
4338,RECL IS
984,RELI IS
36,RIL IS
2789,RNR IS
1389,RPET IS
5035,RPWR IS
1439,RW IS
136,SAIL IS
2240,SANL IS
8211,SBILIFE IS
337,SBIN IS
138,SCI IS
589,SCS IS
3640,SHTF IS
1090,SIEM IS
6945,SKB IS
3290,SNDB IS
8164,SRCM IS
1393,STLT IS
940,SUEL IS
6643,SUF IS
1042,SUNP IS
8465,SUNTV IS
1043,TATA IS
392,TCOM IS
593,TCS IS
3740,TECHM IS
344,TGBL IS
3493,TPW IS
1046,TPWR IS
7664,TRP IS
4242,TTAN IS
3843,TTCH IS
2193,TTLS IS
747,TTMT IS
1395,TVSL IS
5194,UBBL IS
4094,UNBK IS
4295,UNSP IS
3196,UPLL IS
2596,UTCEM IS
7258,VEDL IS
2147,VJYBK IS
2098,VYSB IS
2299,WPL IS
348,WPRO IS
3848,YES IS
49,Z IS
